folio,seccion,archivo,estado,detalle,timestamp
55828,Convenio + Acto Administrativo,-,SKIP,Sección ya tiene 2 doc(s),2026-05-19 16:02:47
55828,Certificado de registro de entidad receptora,-,SKIP,Sección ya tiene 1 doc(s),2026-05-19 16:02:47
55828,Transferencias,-,SKIP,Sección ya tiene 0 doc(s),2026-05-19 16:02:47
55828,Respaldo de rendición,-,SKIP,Sin archivo asignado en master,2026-05-19 16:02:47
55828,Garantías,-,SKIP,Sin archivo asignado en master,2026-05-19 16:02:47
55929,Convenio + Acto Administrativo,-,SKIP,Sección ya tiene 2 doc(s),2026-05-19 16:02:53
55929,Certificado de registro de entidad receptora,-,SKIP,Sección ya tiene 1 doc(s),2026-05-19 16:02:53
55929,Transferencias,-,SKIP,Sección ya tiene 0 doc(s),2026-05-19 16:02:53
55929,Respaldo de rendición,-,SKIP,Sin archivo asignado en master,2026-05-19 16:02:53
55929,Garantías,-,SKIP,Sin archivo asignado en master,2026-05-19 16:02:53
56542,Convenio + Acto Administrativo,-,SKIP,Sección ya tiene 2 doc(s),2026-05-19 16:02:58
56542,Certificado de registro de entidad receptora,-,SKIP,Sección ya tiene 1 doc(s),2026-05-19 16:02:58
56542,Transferencias,-,SKIP,Sección ya tiene 0 doc(s),2026-05-19 16:02:58
56542,Respaldo de rendición,-,SKIP,Sin archivo asignado en master,2026-05-19 16:02:58
56542,Garantías,-,SKIP,Sin archivo asignado en master,2026-05-19 16:02:58
56579,Convenio + Acto Administrativo,-,SKIP,Sección ya tiene 2 doc(s),2026-05-19 16:03:04
56579,Certificado de registro de entidad receptora,-,SKIP,Sección ya tiene 1 doc(s),2026-05-19 16:03:04
56579,Transferencias,-,SKIP,Sección ya tiene 0 doc(s),2026-05-19 16:03:04
56579,Respaldo de rendición,-,SKIP,Sin archivo asignado en master,2026-05-19 16:03:04
56579,Garantías,-,SKIP,Sección ya tiene 1 doc(s),2026-05-19 16:03:04
56582,Convenio + Acto Administrativo,-,SKIP,Sección ya tiene 2 doc(s),2026-05-19 16:03:12
56582,Certificado de registro de entidad receptora,-,SKIP,Sección ya tiene 1 doc(s),2026-05-19 16:03:12
56582,Transferencias,-,SKIP,Sección ya tiene 0 doc(s),2026-05-19 16:03:12
56582,Respaldo de rendición,-,SKIP,Sección ya tiene 1 doc(s),2026-05-19 16:03:12
56582,Garantías,-,SKIP,Sin archivo asignado en master,2026-05-19 16:03:12
56794,Convenio + Acto Administrativo,D:\Downloads\convenios y cierres\06. Valparaíso\07. Firma de Convenios\RESOLUCIÓN 1  CONVENIOS FIRMADOS\56794 FUNDACION LA CALETA26-07-2022-114749.pdf,OK,OK,2026-05-19 16:03:21
56794,Convenio + Acto Administrativo,D:\Downloads\convenios y cierres\06. Valparaíso\08. Res. aprueba convenio (Res+ Memo TT)\RES Y OFICIO 1 (28 PROYECTOS)\RES.APRUEBA CONVENIOS 272 109.pdf,OK,OK,2026-05-19 16:03:25
56794,Certificado de registro de entidad receptora,D:\Downloads\01. Respaldos Auditoría total UFC\Registro Colaboradores del Estado\2022\certificado_65199714_3.pdf,OK,OK,2026-05-19 16:03:30
56794,Transferencias,D:\Downloads\convenios y cierres\06. Valparaíso\10. Egresos (TT)\01.- RESOLUCIÓN 1\56794 - FUNDACION LA CALETA\56794_Fundación La Caleta_Recepción de Fondos_FFOIP_2022.pdf,OK,OK,2026-05-19 16:03:35
56794,Respaldo de rendición,D:\Downloads\convenios y cierres\06. Valparaíso\12. Cierre\56794 FUNDACION LA CALETA\RENDICION\aspaut rendicion ficha.pdf,OK,OK,2026-05-19 16:03:39
56794,Garantías,-,SKIP,Sin archivo asignado en master,2026-05-19 16:03:41
56808,Convenio + Acto Administrativo,D:\Downloads\convenios y cierres\06. Valparaíso\07. Firma de Convenios\RESOLUCIÓN 1  CONVENIOS FIRMADOS\56808 FUNDACION PAPUDO26-07-2022-115010.pdf,OK,OK,2026-05-19 16:03:53
56808,Convenio + Acto Administrativo,D:\Downloads\convenios y cierres\06. Valparaíso\08. Res. aprueba convenio (Res+ Memo TT)\RES Y OFICIO 1 (28 PROYECTOS)\RES.APRUEBA CONVENIOS 272 109.pdf,OK,OK,2026-05-19 16:03:57
56808,Certificado de registro de entidad receptora,D:\Downloads\01. Respaldos Auditoría total UFC\Registro Colaboradores del Estado\2022\certificado_65195303_0.pdf,OK,OK,2026-05-19 16:04:02
56808,Transferencias,D:\Downloads\convenios y cierres\06. Valparaíso\10. Egresos (TT)\01.- RESOLUCIÓN 1\56808 - FUNDACION PAPUDO\certificado recepción de fondos folio número 56808.jpg,OK,OK,2026-05-19 16:04:09
56808,Respaldo de rendición,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\04. ATACAMA\01. FFOIP\02. RENDICIÓN\FOLIO 56808- CVD BARRIO O´HIGGINS.pdf,OK,OK,2026-05-19 16:04:13
56808,Garantías,-,SKIP,Sin archivo asignado en master,2026-05-19 16:04:15
56027,Convenio + Acto Administrativo,D:\Downloads\convenios y cierres\06. Valparaíso\07. Firma de Convenios\RESOLUCIÓN 1  CONVENIOS FIRMADOS\56027 FUND.CADENA DE FAVORES.pdf,OK,OK,2026-05-19 16:04:24
56027,Convenio + Acto Administrativo,D:\Downloads\convenios y cierres\06. Valparaíso\08. Res. aprueba convenio (Res+ Memo TT)\RES Y OFICIO 1 (28 PROYECTOS)\RES.APRUEBA CONVENIOS 272 109.pdf,OK,OK,2026-05-19 16:04:28
56027,Certificado de registro de entidad receptora,D:\Downloads\01. Respaldos Auditoría total UFC\Registro Colaboradores del Estado\2022\certificado_65192718_8.pdf,OK,OK,2026-05-19 16:04:33
56027,Transferencias,"D:\Downloads\convenios y cierres\06. Valparaíso\10. Egresos (TT)\01.- RESOLUCIÓN 1\56027 - FUNDACION CADENA DE FAVORES CHILE, POR\FUNDACION CADENA DE FAVORES CH.pdf",OK,OK,2026-05-19 16:04:41
56027,Respaldo de rendición,-,SKIP,Sin archivo asignado en master,2026-05-19 16:04:43
56027,Garantías,-,SKIP,Sin archivo asignado en master,2026-05-19 16:04:43
57367,Convenio + Acto Administrativo,D:\Downloads\convenios y cierres\06. Valparaíso\07. Firma de Convenios\RESOLUCIÓN 1  CONVENIOS FIRMADOS\57367 CLUB DEPORTIVO CONCON NATIONAL26-07-2022-115917.pdf,OK,OK,2026-05-19 16:04:53
57367,Convenio + Acto Administrativo,D:\Downloads\convenios y cierres\06. Valparaíso\08. Res. aprueba convenio (Res+ Memo TT)\RES Y OFICIO 1 (28 PROYECTOS)\RES.APRUEBA CONVENIOS 272 109.pdf,OK,OK,2026-05-19 16:04:58
57367,Certificado de registro de entidad receptora,D:\Downloads\01. Respaldos Auditoría total UFC\Registro Colaboradores del Estado\2022\certificado_72052300_0.pdf,OK,OK,2026-05-19 16:05:02
57367,Transferencias,D:\Downloads\convenios y cierres\06. Valparaíso\10. Egresos (TT)\01.- RESOLUCIÓN 1\57367 - CLUB DEPORTIVO CONCON NATIONAL\57367 Recepción de recursos 2022 Club deportivo Concon National.pdf,OK,OK,2026-05-19 16:05:11
57367,Respaldo de rendición,-,SKIP,Sin archivo asignado en master,2026-05-19 16:05:13
57367,Garantías,-,SKIP,Sin archivo asignado en master,2026-05-19 16:05:13
57394,Convenio + Acto Administrativo,D:\Downloads\convenios y cierres\06. Valparaíso\07. Firma de Convenios\RESOLUCIÓN 1  CONVENIOS FIRMADOS\57394 JUNTA DE VECINOS VILLA EL MIRADOR.pdf,OK,OK,2026-05-19 16:05:23
57394,Convenio + Acto Administrativo,D:\Downloads\convenios y cierres\06. Valparaíso\08. Res. aprueba convenio (Res+ Memo TT)\RES Y OFICIO 1 (28 PROYECTOS)\RES.APRUEBA CONVENIOS 272 109.pdf,OK,OK,2026-05-19 16:05:27
57394,Certificado de registro de entidad receptora,D:\Downloads\01. Respaldos Auditoría total UFC\Registro Colaboradores del Estado\2022\certificado_75611400_K.pdf,OK,OK,2026-05-19 16:05:32
57394,Transferencias,D:\Downloads\convenios y cierres\06. Valparaíso\10. Egresos (TT)\01.- RESOLUCIÓN 1\57394 - JUNTA DE VECINOS EL MIRADOR UVM-11\57394 certificado recepcion de recursos - copia.pdf,OK,OK,2026-05-19 16:05:37
57394,Respaldo de rendición,-,SKIP,Sin archivo asignado en master,2026-05-19 16:05:39
57394,Garantías,-,SKIP,Sin archivo asignado en master,2026-05-19 16:05:39
57881,Convenio + Acto Administrativo,D:\Downloads\convenios y cierres\06. Valparaíso\07. Firma de Convenios\RESOLUCIÓN 1  CONVENIOS FIRMADOS\57881 CUERPO DE BOMBEROS DE SANTA MARIA26-07-2022-112013.pdf,OK,OK,2026-05-19 16:07:32
