fuente,ruta_completa,ruta_relativa,nombre_archivo,extension,tamano_kb,folio_principal,folios_multiples,n_folios_detectados,categoria
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/58470 - JUNTA VECINAL N°66 CAMPO VERDE/Convenio - 58470.pdf,01. ARICA - FFOIP/58470 - JUNTA VECINAL N°66 CAMPO VERDE/Convenio - 58470.pdf,Convenio - 58470.pdf,.pdf,4083.3,58470,,1,convenio
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/58470 - JUNTA VECINAL N°66 CAMPO VERDE/Resolución Exenta N° 106-2022.pdf,01. ARICA - FFOIP/58470 - JUNTA VECINAL N°66 CAMPO VERDE/Resolución Exenta N° 106-2022.pdf,Resolución Exenta N° 106-2022.pdf,.pdf,1192.4,58470,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/58470 - JUNTA VECINAL N°66 CAMPO VERDE/Garantía - 58470.pdf,01. ARICA - FFOIP/58470 - JUNTA VECINAL N°66 CAMPO VERDE/Garantía - 58470.pdf,Garantía - 58470.pdf,.pdf,275.3,58470,,1,garantia
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/58470 - JUNTA VECINAL N°66 CAMPO VERDE/Res. Adjudicación REX 95-2022.pdf,01. ARICA - FFOIP/58470 - JUNTA VECINAL N°66 CAMPO VERDE/Res. Adjudicación REX 95-2022.pdf,Res. Adjudicación REX 95-2022.pdf,.pdf,1246.1,58470,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59706 - JUNTA VECINAL N°5 ESQUINA/Resolución Exenta N° 106-2022.pdf,01. ARICA - FFOIP/59706 - JUNTA VECINAL N°5 ESQUINA/Resolución Exenta N° 106-2022.pdf,Resolución Exenta N° 106-2022.pdf,.pdf,1192.4,59706,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59706 - JUNTA VECINAL N°5 ESQUINA/Res. Adjudicación REX 95-2022.pdf,01. ARICA - FFOIP/59706 - JUNTA VECINAL N°5 ESQUINA/Res. Adjudicación REX 95-2022.pdf,Res. Adjudicación REX 95-2022.pdf,.pdf,1246.1,59706,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59706 - JUNTA VECINAL N°5 ESQUINA/Garantía - 59706.pdf,01. ARICA - FFOIP/59706 - JUNTA VECINAL N°5 ESQUINA/Garantía - 59706.pdf,Garantía - 59706.pdf,.pdf,345.7,59706,,1,garantia
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59706 - JUNTA VECINAL N°5 ESQUINA/Convenio - 59706.pdf,01. ARICA - FFOIP/59706 - JUNTA VECINAL N°5 ESQUINA/Convenio - 59706.pdf,Convenio - 59706.pdf,.pdf,4149.8,59706,,1,convenio
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59706 - JUNTA VECINAL N°5 ESQUINA/Egreso - 59706.pdf,01. ARICA - FFOIP/59706 - JUNTA VECINAL N°5 ESQUINA/Egreso - 59706.pdf,Egreso - 59706.pdf,.pdf,12.6,59706,,1,otro
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59698 - JV VILLA CAQUENA UV 89/Resolución Exenta N° 106-2022.pdf,01. ARICA - FFOIP/59698 - JV VILLA CAQUENA UV 89/Resolución Exenta N° 106-2022.pdf,Resolución Exenta N° 106-2022.pdf,.pdf,1192.4,59698,,1,acto_administrativo
