fuente,ruta_completa,ruta_relativa,nombre_archivo,extension,tamano_kb,folio_principal,folios_multiples,n_folios_detectados,categoria,folio_match,n_matches
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 55042 QUINTA COMPAÑIA DE BOMBEROS DE PUERTO IBAÑEZ.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 55042 QUINTA COMPAÑIA DE BOMBEROS DE PUERTO IBAÑEZ.pdf,FRR 55042 QUINTA COMPAÑIA DE BOMBEROS DE PUERTO IBAÑEZ.pdf,.pdf,172.6,55042,,1,rendicion,55042,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 55866 ASOC DE VOLEIBOL DE PUERTO AYSÉN.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 55866 ASOC DE VOLEIBOL DE PUERTO AYSÉN.pdf,FRR 55866 ASOC DE VOLEIBOL DE PUERTO AYSÉN.pdf,.pdf,225.1,55866,,1,rendicion,55866,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 56048 CLUB DEPORTIVO Y SOCIAL COLONIAL.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 56048 CLUB DEPORTIVO Y SOCIAL COLONIAL.pdf,FRR 56048 CLUB DEPORTIVO Y SOCIAL COLONIAL.pdf,.pdf,209.7,56048,,1,rendicion,56048,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 56135 AGRUPACIÓN CULTURAL SINFONÍA DEL VIENTO.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 56135 AGRUPACIÓN CULTURAL SINFONÍA DEL VIENTO.pdf,FRR 56135 AGRUPACIÓN CULTURAL SINFONÍA DEL VIENTO.pdf,.pdf,184.6,56135,,1,rendicion,56135,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 57058 AGRUP CUL Y PROD PRODUCTORAS DE LA PATAGONIA.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 57058 AGRUP CUL Y PROD PRODUCTORAS DE LA PATAGONIA.pdf,FRR 57058 AGRUP CUL Y PROD PRODUCTORAS DE LA PATAGONIA.pdf,.pdf,194.8,57058,,1,rendicion,57058,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 57156 Comité de Produc Caprinos de la Comuna de Río Ibáñez.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 57156 Comité de Produc Caprinos de la Comuna de Río Ibáñez.pdf,FRR 57156 Comité de Produc Caprinos de la Comuna de Río Ibáñez.pdf,.pdf,185.9,57156,,1,rendicion,57156,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 57287 Feria Campesina Libre.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 57287 Feria Campesina Libre.pdf,FRR 57287 Feria Campesina Libre.pdf,.pdf,202.1,57287,,1,rendicion,57287,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 57548 Taller Artelanas Chile Chico.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 57548 Taller Artelanas Chile Chico.pdf,FRR 57548 Taller Artelanas Chile Chico.pdf,.pdf,233.5,57548,,1,rendicion,57548,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 57710 CPA jardín familiar cuncunita Prmb.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 57710 CPA jardín familiar cuncunita Prmb.pdf,FRR 57710 CPA jardín familiar cuncunita Prmb.pdf,.pdf,186.1,57710,,1,rendicion,57710,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 57882 CAM CORAZONES JOVENES PTO IBAÑEZ.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 57882 CAM CORAZONES JOVENES PTO IBAÑEZ.pdf,FRR 57882 CAM CORAZONES JOVENES PTO IBAÑEZ.pdf,.pdf,222.4,57882,,1,rendicion,57882,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 57995 Asociación TEAcompañamos.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 57995 Asociación TEAcompañamos.pdf,FRR 57995 Asociación TEAcompañamos.pdf,.pdf,250.8,57995,,1,rendicion,57995,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 58494 JUNTA DE VECINOS ACHEN AMPLIACIÓN PABLO NERUDA.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 58494 JUNTA DE VECINOS ACHEN AMPLIACIÓN PABLO NERUDA.pdf,FRR 58494 JUNTA DE VECINOS ACHEN AMPLIACIÓN PABLO NERUDA.pdf,.pdf,184.7,58494,,1,rendicion,58494,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 58656 Club de Adultos Mayores Los Años Dorados.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 58656 Club de Adultos Mayores Los Años Dorados.pdf,FRR 58656 Club de Adultos Mayores Los Años Dorados.pdf,.pdf,184.8,58656,,1,rendicion,58656,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 58841 AGRUP CULTURAL DE ARTESANAS MANOS AMIGAS.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 58841 AGRUP CULTURAL DE ARTESANAS MANOS AMIGAS.pdf,FRR 58841 AGRUP CULTURAL DE ARTESANAS MANOS AMIGAS.pdf,.pdf,190.8,58841,,1,rendicion,58841,1
