folio,region,razon_social,estado,faltante
54768,O'HIGGINS,"AGRUPACIÓN SOCIAL, CULTURAL Y DEPORTIVA AJEDREZ O'HIGGINS",LISTO,
54899,O'HIGGINS,COMUNIDAD MAPUCHE WE FOLIL,LISTO,
54925,ARICA,JUNTA DE VECINOS N°68 PORTAL DEL SOL,LISTO,
54929,VALPARAÍSO,CENTRO CULTURAL COMPAÑÍA TEATRO CONFÍN.,LISTO,
54942,ARICA,AGRUPACIÓN SOCIAL Y CULTURAL MB2,LISTO,
55042,AYSEN,QUINTA COMPAÑIA DE BOMBEROS DE PUERTO IBAÑEZ,LISTO,
55066,ÑUBLE,CORPORACION CULTURAL DE SAN FABIAN,LISTO,
55135,ÑUBLE,ORGANIZACION NO GUBERNAMENTAL DE DESARROLLO SONRISAS DE NIÑOS,LISTO,
55154,ATACAMA,COMPAÑIA DE TEATRO,LISTO,
55306,ARICA,JUNTA DE VECINOS JUAN PABLO II,LISTO,
55408,ARICA,COMUNIDAD INDIGENA DE LIVILCAR,LISTO,
55756,O'HIGGINS,AGRUPACION EDUCATIVA CULTURAL LAGO RAPEL,LISTO,
55783,O'HIGGINS,JUNTA DE VECINOS LA UNIÓN DE CARACOLES,LISTO,
55841,O'HIGGINS,AGRUPACION DE EMPRENDEDORES DOÑIHUANOS,LISTO,
55856,ATACAMA,COMUNIDAD INDIGENA DIAGUITA CHIGUINTO,LISTO,
55866,AYSEN,ASOCIACION DE VOLEIBOL DE PUERTO AYSEN,LISTO,
55883,O'HIGGINS,ORGANIZACIÓN MEDIO AMBIENTALISTA ECO CLUBES LIFAE,LISTO,
55908,ÑUBLE,TALLER DE MANUALIDADES MANOS VIRTUOSAS,LISTO,
55993,ATACAMA,COMUNIDAD INDÍGENA DIAGUITAS CORAZÓN DE ARCOIRIS,LISTO,
56027,VALPARAÍSO,"FUNDACION CADENA DE FAVORES CHILE, POR LA EQUIDAD SOCIAL",LISTO,
56048,AYSEN,CLUB DEPORTIVO Y SOCIAL COLONIAL,LISTO,
56099,VALPARAÍSO,CLUB DEPORTIVO ESCOLAR ST. MARGARET'S SPORT'S CLUB,LISTO,
56135,AYSEN,AGRUPACIÓN CULTURAL SINFONÍA DEL VIENTO,LISTO,
56367,O'HIGGINS,JUNTA DE VECINOS LAS PARCELAS TROYA NORTE,LISTO,
56385,VALPARAÍSO,FUNDACION MINGA VALPO,LISTO,
56431,O'HIGGINS,JUNTA DE VECINOS N° 11 LA CABAÑA,LISTO,
56449,ÑUBLE,CORPORACIÓN CULTURAL Y SOCIAL ARTE Y VIDA DE COELEMU,LISTO,
56573,O'HIGGINS,UNIÓN COMUNAL CLUB ADULTO MAYOR DE PAREDONES,LISTO,
56582,VALPARAÍSO,FUNDACIÓN MANADA ANIMAL,LISTO,
56615,ATACAMA,RADIO CLUB COPIAPO,LISTO,
56623,O'HIGGINS,JUNTA DE VECINOS LA PALMILLA,LISTO,
56632,ÑUBLE,AGRUPACION DE PADRES AMIGOS Y PROFESIONALES DE NIÑOS CON TRASTORNOS GENERALIZADO DEL DESARROLLO,LISTO,
56776,ÑUBLE,COMITÉ DE ADELANTO LAS GUARDIAS,LISTO,
56805,ATACAMA,CONSEJO VECINAL DE DESARROLLO BARRIO OHIGGINS,LISTO,
56808,VALPARAÍSO,FUNDACION PAPUDO,LISTO,
56873,O'HIGGINS,UNION COMUNAL ADULTO MAYOR,LISTO,
56903,VALPARAÍSO,JUNTA DE VECINOS SANTA REGINA,LISTO,
56920,ÑUBLE,CLUB DEPORTIVO LICEO,LISTO,
56962,ARICA,ASOCIACION INDIGENA COORDINADORA DE MUJERES DE PUEBLOS ORIGINARIOS ARICA Y PARINACOTA,LISTO,
57020,O'HIGGINS,CLUB DEPORTIVO SOCIAL MOVIMIENTO FUNCIONAL,LISTO,
57048,ÑUBLE,CONAPRAN PEMUCO,LISTO,
57058,AYSEN,AGRUPACIÓN CULTURAL Y PRODUCTIVA PRODUCTORAS DE LA PATAGONIA,LISTO,
57059,O'HIGGINS,CORPORACIÓN DE TRANSFORMACIÓN EDUCATIVA TRÉBOL DE MAR.,LISTO,
57087,O'HIGGINS,JUNTA DE VECINOS ARICA,LISTO,
57156,AYSEN,COMITÉ DE PRODUCTORES CAPRINOS DE LA COMUNA DE RÍO IBÁÑEZ,LISTO,
57163,ÑUBLE,JUNTA DE VECINOS VILLA ILLINOIS,LISTO,
57169,O'HIGGINS,CENTRO DE ADULTO MAYOR JAIME FELDMAN MILLER,LISTO,
