folio,ano,fondo,region,alcance,razon_social,nombre_fantasia,rut,estado_sira,cuotas_declaradas,monto_garantia,acto_admin_numero,carpeta_folio,convenio_pdf,acto_admin_pdf,certificado_pdf,voucher_pdf,rendicion_pdf,garantia_pdf,confianza_convenio,confianza_acto,confianza_certificado,confianza_voucher,confianza_rendicion,confianza_garantia,n_archivos_encontrados,observaciones,estado_carga
73542,2023,FFMCS,VALPARAÍSO,REGIONAL,LEONARDO ERWIN PAKARATI QUIROZ,LEONARDO ERWIN PAKARATI QUIROZ,7479208-1,Borrador,1,3951740,1483,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/73542 - LEONARDO ERWIN PAKARATI QUIROZ,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/73542 - LEONARDO ERWIN PAKARATI QUIROZ/Convenio - 73542.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/73542 - LEONARDO ERWIN PAKARATI QUIROZ/Resolución - 73542.pdf,,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/73542 - LEONARDO ERWIN PAKARATI QUIROZ/Egreso - 73542.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/73542 - LEONARDO ERWIN PAKARATI QUIROZ/Rendición - 73542.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/73542 - LEONARDO ERWIN PAKARATI QUIROZ/Garantía - 73542.pdf,ALTA,ALTA,,ALTA,ALTA,ALTA,5,Sin certificado,
73944,2023,FFMCS,VALPARAÍSO,REGIONAL,I MUNICIPALIDAD DE ISLA DE PASCUA,I MUNICIPALIDAD DE ISLA DE PASCUA,69061800-1,Borrador,1,4641651,1483,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/73944 - I MUNICIPALIDAD DE ISLA DE PASCUA,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/73944 - I MUNICIPALIDAD DE ISLA DE PASCUA/Convenio - 73944.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/73944 - I MUNICIPALIDAD DE ISLA DE PASCUA/Resolución - 73944.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-SUBIR/Registro de Colaboradores del Estado - Registros 19862/certificado_69061800_1.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/73944 - I MUNICIPALIDAD DE ISLA DE PASCUA/Egreso - 73944.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/73944 - I MUNICIPALIDAD DE ISLA DE PASCUA/Rendición - 73944.pdf,,ALTA,ALTA,ALTA,ALTA,ALTA,,5,OK,
71801,2023,FFMCS,VALPARAÍSO,REGIONAL,PARROQUIA NUESTRA SEÑORA DE LA MERCED,PARROQUIA NUESTRA SEÑORA DE LA MERCED,65371690-7,Borrador,1,3999857,1483,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/71801 - PARROQUIA NUESTRA SEÑORA DE LA MERCED,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/71801 - PARROQUIA NUESTRA SEÑORA DE LA MERCED/Convenio - 71801.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/71801 - PARROQUIA NUESTRA SEÑORA DE LA MERCED/Resolución - 71801.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-SUBIR/Registro de Colaboradores del Estado - Registros 19862/certificado_65371690_7.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/71801 - PARROQUIA NUESTRA SEÑORA DE LA MERCED/Egreso - 71801.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/71801 - PARROQUIA NUESTRA SEÑORA DE LA MERCED/Rendición - 71801.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/71801 - PARROQUIA NUESTRA SEÑORA DE LA MERCED/Garantía - 71801.pdf,ALTA,ALTA,ALTA,ALTA,ALTA,ALTA,6,OK,
77550,2023,FFMCS,VALPARAÍSO,REGIONAL,AGRUPACIÓN COMUNICACIONAL Y AUDIOVISUAL DE CALLE LARGA,AGRUPACIÓN COMUNICACIONAL Y AUDIOVISUAL DE CALLE LARGA,65042478-6,Borrador,1,4974960,1483,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/77550 - AGRUPACIÓN COMUNICACIONAL Y AUDIOVISUAL DE CALLE LARGA,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/77550 - AGRUPACIÓN COMUNICACIONAL Y AUDIOVISUAL DE CALLE LARGA/Convenio - 77550.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/77550 - AGRUPACIÓN COMUNICACIONAL Y AUDIOVISUAL DE CALLE LARGA/Resolución - 77550.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-SUBIR/Registro de Colaboradores del Estado - Registros 19862/certificado_65042478_6.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/77550 - AGRUPACIÓN COMUNICACIONAL Y AUDIOVISUAL DE CALLE LARGA/Egreso - 77550.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/77550 - AGRUPACIÓN COMUNICACIONAL Y AUDIOVISUAL DE CALLE LARGA/Rendición - 77550.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/77550 - AGRUPACIÓN COMUNICACIONAL Y AUDIOVISUAL DE CALLE LARGA/Garantía - 77550.pdf,ALTA,ALTA,ALTA,ALTA,ALTA,ALTA,6,OK,
74649,2023,FFMCS,VALPARAÍSO,REGIONAL,AGRUPACION PENIEL LA LIGUA,AGRUPACION PENIEL LA LIGUA,65135712-8,Borrador,1,4477472,1483,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/74649 - AGRUPACION PENIEL LA LIGUA,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/74649 - AGRUPACION PENIEL LA LIGUA/Convenio - 74649.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/74649 - AGRUPACION PENIEL LA LIGUA/Resolución - 74649.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-SUBIR/Registro de Colaboradores del Estado - Registros 19862/certificado_65135712_8.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/74649 - AGRUPACION PENIEL LA LIGUA/Egreso - 74649.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/74649 - AGRUPACION PENIEL LA LIGUA/Rendición - 74649.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/74649 - AGRUPACION PENIEL LA LIGUA/Garantía - 74649.pdf,ALTA,ALTA,ALTA,ALTA,ALTA,ALTA,6,OK,
69805,2023,FFMCS,VALPARAÍSO,REGIONAL,"AGRUPACION SOCIAL, CULTURAL Y COMUNITARIA","AGRUPACION SOCIAL, CULTURAL Y COMUNITARIA",75196800-0,Borrador,1,3294660,1483,"/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/69805 - AGRUPACION SOCIAL, CULTURAL Y COMUNITARIA","/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/69805 - AGRUPACION SOCIAL, CULTURAL Y COMUNITARIA/Convenio - 69805.pdf","/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/69805 - AGRUPACION SOCIAL, CULTURAL Y COMUNITARIA/Resolución - 69805.pdf",/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-SUBIR/Registro de Colaboradores del Estado - Registros 19862/certificado_75196800_0.pdf,"/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/69805 - AGRUPACION SOCIAL, CULTURAL Y COMUNITARIA/Egreso - 69805.pdf","/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/69805 - AGRUPACION SOCIAL, CULTURAL Y COMUNITARIA/Rendición - 69805.pdf","/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/69805 - AGRUPACION SOCIAL, CULTURAL Y COMUNITARIA/Garantía - 69805.pdf",ALTA,ALTA,ALTA,ALTA,ALTA,ALTA,6,OK,
71876,2023,FFMCS,VALPARAÍSO,REGIONAL,CENTRO JUVENIL SOCIAL CULTURAL Y DE COMUNICACIONES RATEM,CENTRO JUVENIL SOCIAL CULTURAL Y DE COMUNICACIONES RATEM,65079000-6,Borrador,1,4948280,1483,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/71876 - CENTRO JUVENIL SOCIAL CULTURAL Y DE COMUNICACIONES RATEM,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/71876 - CENTRO JUVENIL SOCIAL CULTURAL Y DE COMUNICACIONES RATEM/Convenio - 71876.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/71876 - CENTRO JUVENIL SOCIAL CULTURAL Y DE COMUNICACIONES RATEM/Resolución - 71876.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-SUBIR/Registro de Colaboradores del Estado - Registros 19862/certificado_65079000_6.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/71876 - CENTRO JUVENIL SOCIAL CULTURAL Y DE COMUNICACIONES RATEM/Egreso - 71876.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/71876 - CENTRO JUVENIL SOCIAL CULTURAL Y DE COMUNICACIONES RATEM/Rendición - 71876.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/71876 - CENTRO JUVENIL SOCIAL CULTURAL Y DE COMUNICACIONES RATEM/Garantía - 71876.pdf,ALTA,ALTA,ALTA,ALTA,ALTA,ALTA,6,OK,
74253,2023,FFMCS,VALPARAÍSO,REGIONAL,JUNTA DE VECINOS CALETA HIGUERILLA 106-A,JUNTA DE VECINOS CALETA HIGUERILLA 106-A,65191710-7,Borrador,1,4959995,1483,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/74253 - JUNTA DE VECINOS CALETA HIGUERILLA 106-A,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/74253 - JUNTA DE VECINOS CALETA HIGUERILLA 106-A/Convenio - 74253.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/74253 - JUNTA DE VECINOS CALETA HIGUERILLA 106-A/Resolución - 74253.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-SUBIR/Registro de Colaboradores del Estado - Registros 19862/certificado_65191710_7.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/74253 - JUNTA DE VECINOS CALETA HIGUERILLA 106-A/Egreso - 74253.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/74253 - JUNTA DE VECINOS CALETA HIGUERILLA 106-A/Rendición - 74253.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/74253 - JUNTA DE VECINOS CALETA HIGUERILLA 106-A/Garantía - 74253.pdf,ALTA,ALTA,ALTA,ALTA,ALTA,ALTA,6,OK,
77798,2023,FFMCS,VALPARAÍSO,REGIONAL,BOX COMUNICACIONES SPA,BOX COMUNICACIONES SPA,77021049-6,Borrador,1,4000000,1483,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/77798 - BOX COMUNICACIONES SPA,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/77798 - BOX COMUNICACIONES SPA/Convenio - 77798.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/77798 - BOX COMUNICACIONES SPA/Resolución - 77798.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-SUBIR/Registro de Colaboradores del Estado - Registros 19862/certificado_77021049_6.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/77798 - BOX COMUNICACIONES SPA/Egreso - 77798.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/77798 - BOX COMUNICACIONES SPA/Rendición - 77798.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/77798 - BOX COMUNICACIONES SPA/Garantía - 77798.pdf,ALTA,ALTA,ALTA,ALTA,ALTA,ALTA,6,OK,
72476,2023,FFMCS,VALPARAÍSO,REGIONAL,COMUNICACIONES CALDERÓN LIMITADA,COMUNICACIONES CALDERÓN LIMITADA,76815383-3,Borrador,1,4000000,1483,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/72476 - COMUNICACIONES CALDERÓN LIMITADA,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/72476 - COMUNICACIONES CALDERÓN LIMITADA/Convenio - 72476.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/72476 - COMUNICACIONES CALDERÓN LIMITADA/Resolución - 72476.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-SUBIR/Registro de Colaboradores del Estado - Registros 19862/certificado_76815383_3.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/72476 - COMUNICACIONES CALDERÓN LIMITADA/Egreso - 72476.pdf,/home/bgcorrea/personal/workspace/caigg/sira-bot/ARCHIVOS-NORMALIZADOS/72476 - COMUNICACIONES CALDERÓN LIMITADA/Rendición - 72476.pdf,,ALTA,ALTA,ALTA,ALTA,ALTA,,5,OK,
