region,folio,tipo,accion,detalle
RM,54445,egreso,OK,65180632-1.pdf → Egreso - 54445.pdf
RM,54445,convenio,OK,CONVENIO AGRUPACIÓN DE APODERADOS Y JÓVENES MOSAICO.pdf → Convenio - 54445.pdf (score=3)
RM,54445,resolucion,OK,272-714.pdf → Resolución - 54445.pdf
RM,54480,egreso,OK,65591540-0.pdf → Egreso - 54480.pdf
RM,54480,convenio,OK,CONVENIO JUNTA DE VECINOS N°58 TORIBIO LARRAIN.pdf → Convenio - 54480.pdf (score=2)
RM,54480,resolucion,OK,272-714.pdf → Resolución - 54480.pdf
RM,54706,egreso,OK,65204907-9.pdf → Egreso - 54706.pdf
RM,54706,convenio,OK,CONVENIO JUNTA DE VECINOS NUEVA SANTA ANA DE LOS ARCOS.pdf → Convenio - 54706.pdf (score=3)
RM,54706,resolucion,OK,272-714.pdf → Resolución - 54706.pdf
RM,54708,egreso,OK,65072912-9.pdf → Egreso - 54708.pdf
RM,54708,convenio,OK,CONVENIO JUNTA DE VECINOS CLAUDIO MATTE PÉREZ.pdf → Convenio - 54708.pdf (score=3)
RM,54708,resolucion,OK,272-714.pdf → Resolución - 54708.pdf
RM,54743,egreso,OK,65340880-3.pdf → Egreso - 54743.pdf
RM,54743,convenio,SIN_MATCH_RAZON,mejor_score=1 razon=CENTRO CULTURAL SANTIAGO 12
RM,54743,resolucion,OK,272-714.pdf → Resolución - 54743.pdf
RM,54902,egreso,SIN_MATCH_RUT,RUT=65134781-5
RM,54902,convenio,OK,CONVENIO - DONACIO DE ORGANOS EN CHILE20220711_10280974.pdf → Convenio - 54902.pdf (score=2)
RM,54902,resolucion,OK,272-715.pdf → Resolución - 54902.pdf
RM,54965,egreso,OK,65109484-4.pdf → Egreso - 54965.pdf
RM,54965,convenio,OK,CONVENIO ALERTA MUJERES CALERA DE TANGO.pdf → Convenio - 54965.pdf (score=2)
RM,54965,resolucion,OK,272-714.pdf → Resolución - 54965.pdf
RM,55041,egreso,SIN_MATCH_RUT,RUT=65199305-9
RM,55041,convenio,SIN_MATCH_RAZON,mejor_score=1 razon=FUNDACIÓN PEWENKEM
RM,55041,resolucion,OK,272-715.pdf → Resolución - 55041.pdf
RM,55146,egreso,OK,65144486-1.pdf → Egreso - 55146.pdf
RM,55146,convenio,OK,CONVENIO - COMUN ESCOLARES SUSTENTABLES 20220713_15054644.pdf → Convenio - 55146.pdf (score=2)
RM,55146,resolucion,OK,272-714.pdf → Resolución - 55146.pdf
RM,55181,carpeta,SIN_CARPETA,"55181 - CORPORACION CHILEPRIMERO, CORPORACIÓN PARA EL DESARROLLO SUSTENTABLE ECONÓMICO, PRODUCTIVO, SOCIAL."
RM,55380,egreso,OK,65050665-0.pdf → Egreso - 55380.pdf
RM,55380,convenio,OK,CONVENIO CLUB DEP. PUENTE SKATE.pdf → Convenio - 55380.pdf (score=2)
RM,55380,resolucion,OK,272-714.pdf → Resolución - 55380.pdf
RM,55759,carpeta,SIN_CARPETA,55759 - AGRUPACIÓN FOLCLÓRICA RAIPILLÁN
RM,55788,egreso,OK,65063887-5.pdf → Egreso - 55788.pdf
RM,55788,convenio,SIN_MATCH_RAZON,mejor_score=1 razon=CENTRO CULTURAL CREANDO INTEGRACIÓN PARA
RM,55788,resolucion,OK,272-714.pdf → Resolución - 55788.pdf
RM,55914,carpeta,SIN_CARPETA,"55914 - CENTRO CULTURAL CON ALMA PATRIMONIAL:PATRIMONIO,MEMORIA Y TIERRA"
RM,56037,egreso,OK,65092940-3.pdf → Egreso - 56037.pdf
RM,56037,convenio,OK,CONVENIO CORPORACIÓN DE ARTISTAS POR LA REHABILITACIÓN.pdf → Convenio - 56037.pdf (score=2)
RM,56037,resolucion,OK,272-714.pdf → Resolución - 56037.pdf
RM,56063,egreso,OK,65179524-9.pdf → Egreso - 56063.pdf
RM,56063,convenio,OK,CONVENIO FUNDACIÓN DE BENEFICENCIA SOMOS MULTICOLOR.pdf → Convenio - 56063.pdf (score=3)
RM,56063,resolucion,OK,272-714.pdf → Resolución - 56063.pdf
RM,56166,egreso,OK,75950000-8.pdf → Egreso - 56166.pdf
RM,56166,convenio,OK,CONVENIO JUNTA DE VECINOS VILLA LO BLANCO.pdf → Convenio - 56166.pdf (score=2)
RM,56166,resolucion,OK,272-714.pdf → Resolución - 56166.pdf
RM,56201,egreso,OK,65199145-5.pdf → Egreso - 56201.pdf
RM,56201,convenio,OK,CONVENIO CONSEJO VECINAL DE DESARROLLO UNIDOS POR EL BARRIO SAN JOAQUIN.pdf → Convenio - 56201.pdf (score=6)
RM,56201,resolucion,OK,272-714.pdf → Resolución - 56201.pdf
RM,56277,egreso,OK,65537510-4.pdf → Egreso - 56277.pdf
RM,56277,convenio,SIN_MATCH_RAZON,mejor_score=1 razon=JUNTA DE VECINOS VILLA SAN JOSÉ
RM,56277,resolucion,OK,272-714.pdf → Resolución - 56277.pdf
RM,56394,egreso,OK,71191200-2.pdf → Egreso - 56394.pdf
RM,56394,convenio,OK,CONVENIO FUNDACIÓN HOGAR DE MENORES DOMINGO SAVIO.pdf → Convenio - 56394.pdf (score=4)
RM,56394,resolucion,OK,272-714.pdf → Resolución - 56394.pdf
RM,56440,egreso,OK,71791600-K.pdf → Egreso - 56440.pdf
RM,56440,convenio,SIN_MATCH_RAZON,mejor_score=1 razon=CORPORACIÓN CHILENA DE PREVENCIÓN DEL SI
RM,56440,resolucion,OK,272-714.pdf → Resolución - 56440.pdf
RM,56498,egreso,OK,65145979-6.pdf → Egreso - 56498.pdf
RM,56498,convenio,SIN_MATCH_RAZON,mejor_score=1 razon=FUNDACIÓN VOLVER A REÍR
RM,56498,resolucion,OK,272-714.pdf → Resolución - 56498.pdf
RM,56589,egreso,OK,53334841-6.pdf → Egreso - 56589.pdf
RM,56589,convenio,OK,CONVENIO FUNDACIÓN MATTER OF TRUST CHILE.pdf → Convenio - 56589.pdf (score=3)
RM,56589,resolucion,OK,272-714.pdf → Resolución - 56589.pdf
RM,56596,egreso,OK,65173543-2.pdf → Egreso - 56596.pdf
RM,56596,convenio,SIN_MATCH_RAZON,mejor_score=0 razon=FUNDACIÓN AULA VIVA
RM,56596,resolucion,OK,272-714.pdf → Resolución - 56596.pdf
RM,56651,egreso,OK,65114996-7.pdf → Egreso - 56651.pdf
RM,56651,convenio,OK,CONVENIO JUNTA DE VECINOS UNIÓN AMERICANA Y YERBAS BUENAS.pdf → Convenio - 56651.pdf (score=3)
RM,56651,resolucion,OK,272-714.pdf → Resolución - 56651.pdf
RM,56666,egreso,OK,65160065-0.pdf → Egreso - 56666.pdf
RM,56666,convenio,SIN_MATCH_RAZON,mejor_score=1 razon=ONG VIDA DIGNA
RM,56666,resolucion,OK,272-714.pdf → Resolución - 56666.pdf
RM,56734,egreso,OK,65102262-2.pdf → Egreso - 56734.pdf
RM,56734,convenio,OK,CONVENIO - LAS PARCELAS DE PAJARITOS20220718_10370842.pdf → Convenio - 56734.pdf (score=2)
