region,folio,tipo,accion,detalle
ATACAMA,55154,garantia,DRY_RUN,FOLIO 55154- COMPAÑIA DE TEATRO.pdf → Garantía - 55154.pdf
ATACAMA,55154,rendicion,DRY_RUN,FOLIO 55154- COMPAÑIA DE TEATRO EL ANDEN.pdf → Rendición - 55154.pdf
ATACAMA,55993,garantia,DRY_RUN,FOLIO 55993- COMUNIDAD INDIGENA DIAGUITAS CORAZON DE ARCOIRIS.pdf → Garantía - 55993.pdf
ATACAMA,55993,rendicion,SIN_ARCHIVO,No encontrado en carpeta compartida
ATACAMA,56615,garantia,DRY_RUN,FOLIO 56615- RADIO CLUB COPIAPO.pdf → Garantía - 56615.pdf
ATACAMA,56615,rendicion,DRY_RUN,FOLIO 56615- RADIO CLUB COPIAPO.pdf → Rendición - 56615.pdf
ATACAMA,56805,garantia,DRY_RUN,FOLIO 56805- CVD BARRIO O´HIGGINS.pdf → Garantía - 56805.pdf
ATACAMA,56805,rendicion,DRY_RUN,FOLIO 56805- COMUNIDAD INDIGENA DIAGUITAS CORAZON DE ARCOIRIS.pdf → Rendición - 56805.pdf
ATACAMA,57492,garantia,DRY_RUN,FOLIO 57492- FUNDACION CHOYUN.pdf → Garantía - 57492.pdf
ATACAMA,57492,rendicion,DRY_RUN,FOLIO 57492- FUNDACION CHOYUN.pdf → Rendición - 57492.pdf
ATACAMA,57939,garantia,DRY_RUN,FOLIO 57939- CENTRO DE MADRES GABRIELA MISTRAL.pdf → Garantía - 57939.pdf
ATACAMA,57939,rendicion,DRY_RUN,FOLIO 57939- CENTRO DE MADRES GABRIELA MISTRAL.pdf → Rendición - 57939.pdf
ATACAMA,58092,garantia,DRY_RUN,FOLIO 58092- COMITE AMBIENTAL COMUNAL DE CHAÑARAL.pdf → Garantía - 58092.pdf
ATACAMA,58092,rendicion,DRY_RUN,FOLIO 58092- COMITE AMBIENTAL COMUNAL DE CHAÑARAL.pdf → Rendición - 58092.pdf
ATACAMA,58219,garantia,DRY_RUN,FOLIO 58219- FUNDACION PROYECTO SER HUMANO.pdf → Garantía - 58219.pdf
ATACAMA,58219,rendicion,DRY_RUN,FOLIO 58219- FUNDACION PROYECTO SER HUMANO.pdf → Rendición - 58219.pdf
ATACAMA,58503,garantia,DRY_RUN,"FOLIO 58503- TALLER SOCIAL, CULTURAL Y RECREATIVO UNIDAS POR DOMEYKO.pdf → Garantía - 58503.pdf"
ATACAMA,58503,rendicion,DRY_RUN,"FOLIO 58503- TALLER SOCIAL, CULTURAL Y RECREATIVO UNIDAS POR DOMEYKO.pdf → Rendición - 58503.pdf"
ATACAMA,58633,garantia,DRY_RUN,FOLIO 58633- JUNTA DE VECINOS VILLA POTRERILLOS.pdf → Garantía - 58633.pdf
ATACAMA,58633,rendicion,DRY_RUN,FOLIO 58633- JUNTA DE VECINOS VILLA POTRERILLOS.pdf → Rendición - 58633.pdf
ATACAMA,58696,garantia,DRY_RUN,FOLIO 58696- JUNTA DE VECINO FERROVIARIA.pdf → Garantía - 58696.pdf
ATACAMA,58696,rendicion,DRY_RUN,FOLIO 58696- JUNTA DE VECINOS VILLA FERROVIARIA.pdf → Rendición - 58696.pdf
ATACAMA,58737,garantia,SIN_ARCHIVO,No encontrado en carpeta compartida
ATACAMA,58737,rendicion,DRY_RUN,FOLIO 58737- COMITE NUEVO RENACER CALDERA.pdf → Rendición - 58737.pdf
ATACAMA,58808,garantia,DRY_RUN,FOLIO 58808- JUNTA DE VECINOS UNION Y PROGRESO POBLACION RAFAEL TORREBLANCA.pdf → Garantía - 58808.pdf
ATACAMA,58808,rendicion,DRY_RUN,FOLIO 58808- JUNTA DE VECINOS UNION Y PROGRESO POBLACION RAFAEL TORREBLANCA.pdf → Rendición - 58808.pdf
ATACAMA,58813,garantia,DRY_RUN,FOLIO 58813- JUNTA DE VECINOS VILLA ESTACION PAIPOTE.pdf → Garantía - 58813.pdf
ATACAMA,58813,rendicion,DRY_RUN,FOLIO 58813- JUNTA DE VECINOS VILLA ESTACION PAIPOTE.pdf → Rendición - 58813.pdf
ATACAMA,58822,garantia,DRY_RUN,FOLIO 58822- JUNTA DE VECINOS VILLA AMPLIACION PAIPOTE.pdf → Garantía - 58822.pdf
ATACAMA,58822,rendicion,DRY_RUN,FOLIO 588222- JUNTA DE VECINOS VILLA AMPLIACION PAIPOTE.pdf → Rendición - 58822.pdf
ATACAMA,58844,garantia,DRY_RUN,FOLIO 58844- JUNTA DE VECINOS VILLA ESPERANZA II.pdf → Garantía - 58844.pdf
