folio,region,razon_social,ok,faltante,error,estado_final
54708,RM,JUNTA DE VECINOS CLAUDIO MATTE PÉREZ,1,,,COMPLETO
54902,RM,FUNDACION DE BENEFICENCIA PUBLICA CAMBIEMOS LA HIS,1,,,COMPLETO
55788,RM,CENTRO CULTURAL CREANDO INTEGRACIÓN PARA JÓVENES C,1,,,COMPLETO
56037,RM,CORPORACIÓN DE ARTISTAS POR LA REHABILITACIÓN Y RE,1,,,COMPLETO
56063,RM,FUNDACIÓN DE BENEFICENCIA SOMOS MULTICOLOR,1,,,COMPLETO
56201,RM,CONSEJO VECINAL DE DESARROLLO UNIDOS POR EL BARRIO,1,,,COMPLETO
56277,RM,JUNTA DE VECINOS VILLA SAN JOSÉ,1,,,COMPLETO
56394,RM,FUNDACIÓN HOGAR DE MENORES DOMINGO SAVIO,1,,,COMPLETO
56440,RM,CORPORACIÓN CHILENA DE PREVENCIÓN DEL SIDA,1,,,COMPLETO
56498,RM,FUNDACIÓN VOLVER A REÍR,1,,,COMPLETO
56589,RM,FUNDACIÓN MATTER OF TRUST CHILE,1,,,COMPLETO
56596,RM,FUNDACIÓN AULA VIVA,1,,,COMPLETO
56651,RM,JUNTA DE VECINOS UNIÓN AMERICANA Y YERBAS BUENAS,1,,,COMPLETO
56734,RM,JUNTA DE VECINOS LAS PARCELAS DE PAJARITOS,1,,,COMPLETO
56904,RM,UNION COMUNAL DE ADULTOS MAYORES LA PINTANA,1,,,COMPLETO
56936,RM,CLUB DE ADULTO MAYOR LAS ABEJITAS HACEDORAS,1,,,COMPLETO
56950,RM,CLUB DE ADULTO MAYOR EL TAQUITO DE CHICAUMA,1,,,COMPLETO
56985,RM,MUDET MUJER DESAFIO TRABAJO,1,,,COMPLETO
56992,RM,CLUB DEPORTIVO Y CULTURAL SOCIAL MADRID,1,,,COMPLETO
57013,RM,JUNTA DE VECINOS A-17 JOSE MIGUEL CARRERA,1,,,COMPLETO
57609,RM,FUNDACIÓN INGENIEROS SF CHILE,1,,,COMPLETO
57720,RM,CENTRO DE DESARROLLO SOCIAL MAESTRANZA + CULTURA,1,,,COMPLETO
57798,RM,ALDEAS INFANTILES SOS CHILE,1,,,COMPLETO
57991,RM,ORGANIZACIÓN DEPORTIVO CULTURAL Y SOCIAL PARQUE LA,1,,,COMPLETO
58094,RM,ORGANIZACION NO GUBERNAMENTAL DE SALUD PUBLICA VIH,1,,,COMPLETO
58485,RM,FUNDACIÓN ERES,1,,,COMPLETO
58788,RM,FUNDACIÓN GESTIONA E INNOVA EDUCATIVA,1,,,COMPLETO
58791,RM,"ORGANIZACION SOCIAL Y DEPORTIVA THANOS, MELIPILLA",1,,,COMPLETO
58829,RM,CENTRO DE PROMOCIÓN Y PREVENCIÓN EN SALUD MENTAL C,1,,,COMPLETO
58944,RM,JUNTA DE VECINOS N°59 VILLA FANTASIA,1,,,COMPLETO
58951,RM,AGRUPACION JUVENIL CULTURAL DEPORTIVO RAIMAPU,1,,,COMPLETO
59006,RM,COMUNIDAD INDÍGENA QUINÁN CHICUY,1,,,COMPLETO
