folio,ano,fondo,region_excel,estado_sira,razon_social,nombre_fantasia,rut,tipo_entidad,fecha_suscripcion,modalidad,tipo_convenio,alcance,cuotas_declaradas,tipo_garantia,monto_garantia,toma_razon,estados_financieros,socios_beneficiarios,url,error,timestamp
55828,2022,FFOIP,VALAPARAISO,Borrador,FUNDACIÓN DE BENEFICENCIA ALDEA DE NIÑOS CARDENAL RAÚL SILVA HENRÍQUEZ,ALDEA DE NIÑOS CRSH,71404100-2,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,21 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$1.498.390,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=55828#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/55828,,2026-05-19 12:28:00
55929,2022,FFOIP,VALAPARAISO,Borrador,CENTRO DE PADRES Y APODERADOS DEL COLEGIO MONTESOL,CGPA,65748340-0,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,21 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$1.200.000,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=55929#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/55929,,2026-05-19 12:28:04
56542,2022,FFOIP,VALAPARAISO,Borrador,JUNTA DE VECINOS BERNARDO LEIGHTON,JUNTA DE VECINOS BERNARDO LEIGHTON,65118226-3,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,21 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$1.800.000,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=56542#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/56542,,2026-05-19 12:28:08
56579,2022,FFOIP,VALAPARAISO,Borrador,CORPORACIÓN ALTAVIDA,,65076242-8,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,21 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$1.800.000,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=56579#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/56579,,2026-05-19 12:28:11
56582,2022,FFOIP,VALAPARAISO,Borrador,FUNDACIÓN MANADA ANIMAL,FUNDACIÓN MANADA ANIMAL,65199574-4,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,21 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$1.785.000,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=56582#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/56582,,2026-05-19 12:28:15
56794,2022,FFOIP,VALAPARAISO,Borrador,FUNDACIÓN LA CALETA,FUNDACIÓN LA CALETA,65199714-3,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,21 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$1.101.414,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=56794#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/56794,,2026-05-19 12:28:22
56808,2022,FFOIP,VALAPARAISO,Borrador,FUNDACION PAPUDO,FUNDACION PAPUDO,65195303-0,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,21 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$1.782.760,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=56808#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/56808,,2026-05-19 12:28:26
56027,2022,FFOIP,VALPARAÍSO,Borrador,"FUNDACION CADENA DE FAVORES CHILE, POR LA EQUIDAD SOCIAL",FUNDACION CADENA DE FAVORES,65192718-8,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,21 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,REGIONAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$2.497.000,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=56027#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/56027,,2026-05-19 12:28:30
57367,2022,FFOIP,VALPARAÍSO,Borrador,CLUB DEPORTIVO CON CON NATIONAL,CLUB DEPORTIVO CON CON NATIONAL,72052300-0,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,21 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$1.580.000,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=57367#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/57367,,2026-05-19 12:28:33
57394,2022,FFOIP,VALPARAÍSO,Borrador,JUNTA DE VECINOS EL MIRADOR UVN-11,JUNTA DE VECINOS EL MIRADOR UVN-11,75611400-K,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,21 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$1.800.000,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=57394#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/57394,,2026-05-19 12:28:37
