folio,razon_social,inicio_esperado,termio_esperado,inicio_sira,termio_sira,inicio_ok,termio_ok,resultado,detalle,timestamp
73542,LEONARDO ERWIN PAKARATI QUIROZ,17/07/2023,16/11/2023,—,,None,None,COINCIDE,,2026-05-27 18:42:52
73944,I MUNICIPALIDAD DE ISLA DE PASCUA,31/07/2023,11/10/2023,31/07/2023,,True,None,COINCIDE,,2026-05-27 18:42:55
71801,PARROQUIA NUESTRA SEÑORA DE LA MERCED,17/07/2023,13/11/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:42:59
77550,AGRUPACIÓN COMUNICACIONAL Y AUDIOVISUAL DE CALLE LARGA,21/07/2023,17/11/2023,21/07/2023,,True,None,COINCIDE,,2026-05-27 18:43:03
74649,AGRUPACION PENIEL LA LIGUA,17/07/2023,17/11/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:43:06
69805,"AGRUPACION SOCIAL, CULTURAL Y COMUNITARIA",17/07/2023,11/04/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:43:10
71876,CENTRO JUVENIL SOCIAL CULTURAL Y DE COMUNICACIONES RATEM,17/07/2023,17/11/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:43:13
74253,JUNTA DE VECINOS CALETA HIGUERILLA 106-A,17/07/2023,20/10/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:43:17
77798,BOX COMUNICACIONES SPA,08/01/2023,17/11/2023,08/01/2023,,True,None,COINCIDE,,2026-05-27 18:43:21
72476,COMUNICACIONES CALDERÓN LIMITADA,17/07/2023,15/11/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:43:24
75758,COMUNICACIONES CONGRESO SPA,17/07/2023,11/11/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:43:28
77380,COMUNICACIONES MIGUEL ACUÑA VICENCIO E.I.R.L.,25/07/2023,31/10/2023,25/07/2023,,True,None,COINCIDE,,2026-05-27 18:43:32
71206,COMUNICACIONES VÍCTOR DELGADO E.I.R.L.,17/07/2023,28/10/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:43:35
76841,COMUNICACIONES Y EDICIONES ANGELICA MARIA VERA SILVA E.I.R.L,18/07/2023,10/09/2023,18/07/2023,,True,None,COINCIDE,,2026-05-27 18:43:39
70905,COMUNICACIONES Y EVENTOS MARCOS ANTONIO ZAMORA RODRIGUEZ E.I.R.L,19/07/2023,30/10/2023,19/07/2023,,True,None,COINCIDE,,2026-05-27 18:43:43
77125,LEDEZMA QUEZADA COMUNICACIONES SPA,17/07/2023,25/09/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:43:46
74148,LQE SPA,17/07/2023,17/11/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:43:50
77437,OMAR FERNANDO VEAS ROJAS RADIOFISUSION E.I.R.L.,17/07/2023,11/05/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:43:53
70245,PRELUDIO COMUNICACIONES E.I.R.L.,17/07/2023,17/11/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:43:57
72699,RADIO DIGITAL VISTAMAR CLAUDIO ESTEBAN ROSAS LEON EIRL,17/07/2023,11/05/2023,17/07/2023,,True,None,COINCIDE,,2026-05-27 18:44:01
